x,y,z,id
369.5357694344,805.7497469138,102.9936648697,0.0000000000
677.5055303855,630.3041266041,108.7637854666,1.0000000000
19.4226232357,946.1776431722,116.7642731122,2.0000000000
1028.0939030360,765.1599588884,124.5097572520,3.0000000000
120.9394947036,872.2457075099,122.8236310935,4.0000000000
471.0104385956,677.7831700272,127.2994967552,5.0000000000
19.3422896344,946.4874534332,130.0420469837,6.0000000000
9.4608424632,799.6646883264,129.4043571339,7.0000000000
677.6609258794,630.1614195861,129.5351120169,8.0000000000
11.3574974113,646.8744828732,131.8602658509,9.0000000000
374.7891024822,805.2124252593,135.0666549473,10.0000000000
105.9625864567,881.5312774414,133.9224644949,11.0000000000
94.7420619142,961.1655552400,135.1632112089,12.0000000000
93.5040514709,820.5187249400,135.9440070653,13.0000000000
397.3235086536,1031.3587042032,135.9557078994,14.0000000000
12.3790685560,1100.0511538321,135.2392175433,15.0000000000
95.8726114470,710.9156376066,137.9578130591,16.0000000000
105.4953030303,1055.2334617360,137.2740969012,17.0000000000
11.7135427203,591.7475725313,139.8350254129,18.0000000000
150.8210539296,734.4569331634,142.7456702839,19.0000000000
1203.8267103506,703.0590400668,144.3242547102,20.0000000000
23.4760525705,858.2191475366,144.9171724384,21.0000000000
90.0362388147,1125.1134354350,143.7772577093,22.0000000000
91.8240191311,520.9025811080,146.0994287233,23.0000000000
21.0146937892,661.6086582991,146.4908028565,24.0000000000
473.4324374140,677.4554970956,145.7925683673,25.0000000000
10.2095214567,799.7452645866,146.8412412779,26.0000000000
258.9897355180,1270.1806645400,146.0837029135,27.0000000000
222.4079991517,663.8488210010,148.0952964464,28.0000000000
103.6084511558,718.4536226525,147.6102296945,29.0000000000
161.3765150669,820.6096704121,147.7210074377,30.0000000000
116.9696448295,1028.5596374552,148.3672579495,31.0000000000
6.9026247720,323.3279109242,150.1768848804,32.0000000000
102.8030281741,590.8383077079,150.7710410802,33.0000000000
165.6189796474,720.0178111108,150.4425963448,34.0000000000
236.0156030852,764.5079292757,149.6747053152,35.0000000000
81.4394648030,809.8029724528,152.8186525140,36.0000000000
47.6622824616,851.3364208517,150.9730069609,37.0000000000
322.0684828908,864.0331840537,149.1412078523,38.0000000000
21.3255578494,979.1959100754,148.0940282439,39.0000000000
89.0137039578,289.4169162457,160.9510487963,40.0000000000
131.6145980777,560.9436915836,154.3735321617,41.0000000000
