x,y,z,id
121.8717832239,526.9771137433,13.9418360327,0.0000000000
70.6809458405,690.7988559388,81.2003389150,1.0000000000
141.0266861478,521.7718372969,99.5710806475,2.0000000000
143.0364255894,529.9093158549,101.0538966541,3.0000000000
149.9898645678,526.1247822940,110.6247736993,4.0000000000
76.9472783816,689.9498385318,119.9455709324,5.0000000000
356.8896473350,542.8982657741,124.8016573461,6.0000000000
171.3361447476,735.3678381544,126.5782878557,7.0000000000
14.0235770965,945.3787616474,130.9119747631,8.0000000000
7.6533304114,1098.1667497339,128.1344520276,9.0000000000
4.1285479820,799.8412568862,132.8817253511,10.0000000000
89.1476532156,959.8222002595,132.7943253814,11.0000000000
215.8452091094,664.1975132495,133.2600969987,12.0000000000
42.0969993609,850.8320749893,134.8276286512,13.0000000000
100.6053361482,880.6810577973,133.9729137622,14.0000000000
39.8680694047,657.9500087060,136.6125142990,15.0000000000
89.9228280771,711.0852737827,136.5069203643,16.0000000000
9.3356440124,753.9532466158,136.0731976273,17.0000000000
87.7347337175,820.1600045958,135.1818672593,18.0000000000
19.3965123955,572.1384038477,138.2301099860,19.0000000000
226.3205781390,677.4015924437,137.0845595410,20.0000000000
60.5253903447,985.6401577059,137.3087275980,21.0000000000
34.1757550791,735.3647523640,140.7696740838,22.0000000000
125.7372583255,776.0583494570,141.1303315831,23.0000000000
50.0986788750,1160.6154761250,139.1603000000,24.0000000000
7.1566071050,649.0875879097,149.0737899902,25.0000000000
36.6216815112,872.3649628071,142.5585788392,26.0000000000
123.0798215438,1234.3153730381,142.0385102367,27.0000000000
14.7079704007,661.5492434460,144.5641816466,28.0000000000
4.3372872924,728.9235974692,144.6407973399,29.0000000000
57.0471956002,540.7104308043,146.3768494827,30.0000000000
128.2750701909,577.8946638858,146.7244906145,31.0000000000
31.4610099566,683.7715536548,145.9798620293,32.0000000000
97.4845208439,718.5782306390,146.5882822500,33.0000000000
576.9603779227,780.9488152542,145.4867245070,34.0000000000
4.3802371631,799.7499981178,146.8176371889,35.0000000000
330.5339241027,843.1292958760,145.4967376276,36.0000000000
89.3172133112,1079.0802071658,146.6206663317,37.0000000000
85.9449856734,1122.4470009551,145.1150528343,38.0000000000
254.9274021549,1266.7525766176,145.3855125667,39.0000000000
976.8731434594,103.7579570983,148.6461940717,40.0000000000
146.2475507764,311.6862578516,146.8016133661,41.0000000000
170.9990869070,693.8540425047,148.2823529412,42.0000000000
1196.4091615554,705.2736752925,147.8279456411,43.0000000000
415.0591913338,714.3519649520,148.0755683797,44.0000000000
96.3415656835,591.4548778424,148.4276728687,45.0000000000
156.7013258992,655.5418015986,150.6049589618,46.0000000000
127.1420995250,677.4021236664,149.3070287015,47.0000000000
159.6256242158,720.6045181148,150.4694688415,48.0000000000
208.0438230326,726.3768093031,150.0459588054,49.0000000000
180.8512668158,727.8057443675,150.0901351081,50.0000000000
156.1983591696,818.8923569939,149.9508455968,51.0000000000
41.7468821324,851.0211180619,151.1072445748,52.0000000000
101.6280954391,870.0957769923,150.5003033580,53.0000000000
102.9000406542,881.0733818714,152.8347319602,54.0000000000
67.1619966349,957.8955762759,149.1077148377,55.0000000000
111.8197499580,1027.4152854480,150.1192200290,56.0000000000
74.7010835261,474.0745225139,152.7923897623,57.0000000000
90.5050301128,491.2876520485,153.3215426810,58.0000000000
132.7889104145,586.0001257813,159.0327115113,59.0000000000
472.7695337288,693.6248251148,152.0816041661,60.0000000000
1194.9878573237,693.4804010563,151.6271541039,61.0000000000
142.8926630382,750.6102801914,152.1891047545,62.0000000000
74.3753625341,773.9830383596,152.6195920771,63.0000000000
89.8243431987,829.3402770083,153.5732822361,64.0000000000
32.3715445235,958.4004275556,152.9810163742,65.0000000000
88.9581426275,959.8581839521,151.8025203944,66.0000000000
97.1563836304,225.0424585143,152.9730268084,67.0000000000
1197.8324342560,684.4785496467,155.4014010215,68.0000000000
63.1460736391,692.1203859520,153.1992542235,69.0000000000
20.8612491499,698.7239806016,153.4862929449,70.0000000000
149.6145198636,714.8411611362,153.2454550103,71.0000000000
12.7210832547,790.7240510443,154.6952197284,72.0000000000
75.7722753346,810.0303059273,153.0523536374,73.0000000000
159.7482781763,863.0097743578,154.4529429916,74.0000000000
42.5834414795,991.4241367052,154.3749268776,75.0000000000
155.5956758733,1147.5035515841,155.1996209044,76.0000000000
59.2621626292,45.4486127556,157.1979476677,77.0000000000
20.9356320888,397.1864591210,155.0399600924,78.0000000000
211.6571476570,430.7460424644,158.1737465544,79.0000000000
42.1890977758,431.5691243217,156.4476619548,80.0000000000
117.2433233060,515.7227329473,156.6180556302,81.0000000000
9.9967467017,520.2985178690,155.7976478148,82.0000000000
283.6696474497,562.3012250798,157.6823163891,83.0000000000
19.7343006474,573.8928884077,156.8372281017,84.0000000000
457.1725809021,594.5112452513,156.4430860624,85.0000000000
151.9700642826,686.0929772580,155.4714239412,86.0000000000
113.2934344774,685.3051995634,158.2032932608,87.0000000000
90.1865701329,711.1948668205,158.0144994584,88.0000000000
225.6418859566,760.3073387629,156.0783335384,89.0000000000
144.5256451998,788.1949098200,156.6435670979,90.0000000000
87.8909599489,820.1461757833,155.9414704864,91.0000000000
280.1558535731,942.6001995620,154.0501551063,92.0000000000
13.7951524914,945.5594622004,158.4656090824,93.0000000000
16.4160227273,1117.7681036932,155.6190701659,94.0000000000
492.6499914153,1192.9516207335,156.6911577514,95.0000000000
122.8458036670,1234.3353160029,156.8070185321,96.0000000000
249.5566920910,303.8017170098,158.4761574576,97.0000000000
143.4961265644,442.4267085082,157.3740607321,98.0000000000
153.0268073547,474.7198855840,158.1005371006,99.0000000000
187.1964031551,481.0142602980,158.5289846000,100.0000000000
85.7245635390,521.9014635465,158.0279070157,101.0000000000
33.6573782052,528.0320021891,158.3817677324,102.0000000000
22.8654725890,545.8014413752,158.8501229891,103.0000000000
111.0616046264,551.2921070437,158.2880098746,104.0000000000
93.2421877230,602.0549993448,158.0935047539,105.0000000000
94.2889417548,623.5256997521,158.7273758686,106.0000000000
178.6886127596,643.1449851632,157.4689133814,107.0000000000
192.9655029686,677.0213016681,159.5202839820,108.0000000000
207.6635415956,697.2446991920,158.6679526235,109.0000000000
54.7420904157,724.6576442340,158.9059435795,110.0000000000
113.2823743142,741.2526229877,158.3971580178,111.0000000000
160.1410113702,826.9361603609,162.8431116153,112.0000000000
34.3657415792,874.2546085701,160.3275068567,113.0000000000
525.1061198500,882.4777360134,158.8670939677,114.0000000000
225.8662960029,968.7534642146,159.0137660836,115.0000000000
144.6266672961,983.4947523462,157.2330381253,116.0000000000
113.3135828961,1059.5414928224,164.7618063674,117.0000000000
153.7481353740,431.7756830565,160.6590717024,118.0000000000
54.7949424255,540.6540293998,164.0978358514,119.0000000000
125.3416446736,562.3106547348,159.2796737280,120.0000000000
45.0782592173,598.2670524702,161.1260306243,121.0000000000
113.3893722105,621.1909374570,159.9030691492,122.0000000000
41.5380100095,658.2012742655,160.0337839790,123.0000000000
105.0765327527,683.1638434883,161.9018524136,124.0000000000
206.0428393570,691.2379346623,160.1641465173,125.0000000000
417.9176853970,704.8259591264,162.7711159737,126.0000000000
45.9890966267,710.9517621671,161.4626895338,127.0000000000
109.9396958276,754.3716864685,159.7805923726,128.0000000000
81.0939551957,760.5771521484,160.3558818365,129.0000000000
230.3383674986,770.0895555573,162.5675660479,130.0000000000
172.8014248122,798.6553531259,160.0602690887,131.0000000000
17.3911366425,857.5743164805,160.5843593624,132.0000000000
23.6687133859,886.4188655756,159.5999880869,133.0000000000
17.8721408705,903.6507607307,160.1263946908,134.0000000000
47.0675580279,998.7052849368,159.2087859315,135.0000000000
510.9205248096,1180.9096443505,161.0962654414,136.0000000000
183.2256954167,352.8687472823,163.7223862965,137.0000000000
